,Description,published
1538,就算剛吃完帝王蟹火鍋，還是想吃拉麵！,7月28日下午1:37
1539,"▎店家：雞吉君 ▎區域／鄰近地點：內湖區/德明財經大學 ▎用餐時間：11:40 ▎排隊狀況：10人左右 ▎拉麵名稱／價格：鹽味雞湯拉麵+手柔拌麵 370
 點了這兩碗已達成雞吉君所有品項都吃過了，除了特濃這座攀不上的高山，今天的招待人員說早上的雞白湯未到達標準所以就沒賣了，也剛好今天就是要特地來吃雞湯跟拌麵的。
 塩味雞湯拉麵：… 更多 配置有餛飩、昆布絲、豬和雞的叉燒，餛飩裡的餡還蠻彈牙的，雖然不太會贅述到底是怎樣的口感，但吃起來的確跟平常吃過的餛飩有些許不一樣，舒肥的豬跟雞叉燒，先說雞的部分好了，豬的話拌麵比較有心得，雞叉燒跟平常吃到的差別在於多了上層炙燒過的痕跡，使得口感更上一層樓，至於昆布絲我就想請問吃過的朋友們，它的作用是用來搭配叉燒還是麵還是湯呢？這一項我比較不知道功用煩請有嘗試過的人是否可以解答
 麵的話是目前在這家吃過特色最不突出的麵，因為沒事先告知調硬，個人習慣硬麵所以端上來時覺得麵有點普通，湯頭的部分這次我也是有點不知道該怎麼評斷，也是喝得出清甜的口感，但就以淡麗系湯頭跟吃過其他家的比起來，這間的特色不算非常突出，就我個人的感覺比較普通的一碗雞湯拉麵。
 手揉拌麵: 配置為洋蔥丁、花生粉、豬叉燒、魚乾一尾，叉燒除了常說的軟嫩口感之外還有整片分佈均勻的油花，吃完叉燒重點就是把碗裡的配料全部扮在一起，這碗的用料真的非常實在，光是使用這種花生粒就知道這間的會大排長龍並一直居高在前幾名真的不是隨便做的（還有那萬用的洋蔥丁），然而這個手揉麵條其實跟煮干雞白湯拉麵的麵條是一樣的，彈牙有嚼勁，其實本身並沒有對這種粗麵很愛，GG君的粗麵真的會讓我吃的很過癮，總覺得裡頭的拌醬是否有用到煮干，味道很明顯，再跟上述這些配置全部扮在一起，味蕾大爆發  配置有餛飩、昆布絲、豬和雞的叉燒，餛飩裡的餡還蠻彈牙的，雖然不太會贅述到底是怎樣的口感，但吃起來的確跟平常吃過的餛飩有些許不一樣，舒肥的豬跟雞叉燒，先說雞的部分好了，豬的話拌麵比較有心得，雞叉燒跟平常吃到的差別在於多了上層炙燒過的痕跡，使得口感更上一層樓，至於昆布絲我就想請問吃過的朋友們，它的作用是用來搭配叉燒還是麵還是湯呢？這一項我比較不知道功用煩請有嘗試過的人是否可以解答",7月28日下午2:09
1540,"▎店家：七面鳥 ▎區域／鄰近地點：北穗製麵所 ▎用餐時間：7/17 中午12：10 ▎排隊狀況：無 ▎拉麵名稱／價格：辛辛豚/280（？太久不記得了
 七面鳥應該不用多講了，一貫地高品質；唯一需要講的點大概就是「湯喝起來沒有看起來那麼辣，還滿溫潤順口的」",7月28日下午2:33
1541,麵條加硬的口感個人覺得可以讓用餐的過程更有層次，一開始的濃湯很巴麵，咀嚼到後來湯汁變少了以後就變成麵粉味出現了，香氣從濃郁變清爽，還蠻不錯的。,7月28日下午5:41
1542,"·店　　名：五之神製作所 ·鄰近地點：台北 松菸誠品/北市府轉運站附近 ·用餐時間：2020.7.29 20:10 ·排隊狀況：幾乎滿座  ·拉麵名稱/價格：招牌豚骨蝦沾麵  260 
 很蝦的一碗拉麵，這是第一次吃到蝦口味的濃郁拉麵。風格很鷹流，就是濃郁，但還沒到那種飽膩的感受，因為蝦味的一種獨特的清爽感可以讓整個口感展現出一種不厚黏的輕提味，很推薦！
 叉燒很大片，豪邁吃。點餐時，麵可以選大中小份量，對小胃口的朋友，蠻貼心的。",7月30日下午6:50
1543,"·店　　名：山形心心五福店 ·鄰近地點：五福路享溫馨對面 ·用餐時間：109/07/26 20:45 ·排隊狀況：沒人 ·拉麵名稱/價格：男氣魚豚野郎拉麵（大）搭配振興券套餐 三顆煎餃+原萃綠茶240$ ·配置：預設
 這個月都快結束了 沒吃半碗麵 這樣是不行的 加上肚子實在有夠餓 所以決定吃份量絕對足夠的野郎拉麵
 今天我把車停在隔兩條街的地方 用散步的慢慢走 途中經過赤麵廠 看到客滿 下次再來試試看好了… 更多 走到山形心心後 進門 只有我一個人....不過看椅子有幾張沒歸位 應該前面有人剛吃完吧 沒人所以隨便找位子坐下點餐了 目前有振興券200元搭配野郎小碗+煎餃+飲料組合 個人覺得挺划算 大碗只要補價差就可以
 所以我這次點魚豚野郎大碗 沒等很久麵先上桌 這個月的第一碗麵 吃起來就對了 慣例先處理豆芽菜....搭配炙燒過的厚叉燒 肉軟又帶有焦香 配上豆芽吃真過癮....麵也帶有一定的彈性 小小不滿的就是糖心蛋形狀不完整.....吃到一半時 煎餃也來了 挺不錯吃 就這樣默默吃 把整碗幹掉了.....整體cp值夠高
 應該是想吃粗飽的最佳解答了吧.....  走到山形心心後 進門 只有我一個人....不過看椅子有幾張沒歸位 應該前面有人剛吃完吧 沒人所以隨便找位子坐下點餐了 目前有振興券200元搭配野郎小碗+煎餃+飲料組合 個人覺得挺划算 大碗只要補價差就可以",7月27日上午1:20
1544,"▎店家：本也拉麵 東門店 ▎區域／鄰近地點：新竹東門市場1樓/大角拉麵 ▎用餐時間：2020.7.8 19:50；2020.7.16 19:25 ▎排隊狀況：無，直接入座 ▎拉麵名稱／價格：清淡煮干拉麵加蛋$220+叉燒丼$100；濃厚煮干豚骨拉麵$200+叉燒丼$100 ▎配置：正常 ▎延伸：無
 【此為7月份週三週四限定】
 這個月本也限定推出了清湯與濃湯兩種煮干湯頭，身為煮干愛好者說什麼都要來嚐嚐，且這也是在新竹完全沒見過的湯頭類型
 清湯版本煮干味道非常輕微，專程來感受煮干震撼的人可能會失望，但這碗承襲了定番柚子醬油清爽、順口的特性，當成定番的變形倒是不錯的選擇，本也的清湯我一直都讚譽有佳，推薦給淡麗系愛好者
 濃湯版就比較重口一些，也能清楚吃到許多魚干碎末，因為魚干本身味道夠重，混合豚骨湯平衡後讓整體不會太強烈，還多了類似芝麻糊的味道，之前吃麵屋聚煮干也有這種奇特的感覺。但兩碗的表現來說還是選擇清湯，跟平時的選擇反常，畢竟他們清湯真的很棒
 叉燒飯雖然漲價，我每次來仍然會點選，沒加個飯感覺有點空虛。值得一提是這兩天叉燒飯的呈現方式不同，正常版本是三片完整的叉燒，另一個則是塊狀、有如手撕豬肉般的版本，兩碗都好吃，後者讓我想起原本巨城總店的手法，剛好最近會在竹北重新開張，讓人期待啊
 不過第二天溏心蛋口感滿怪的，切面像被麻繩磨過，蛋白有如鹹蛋蛋白鬆散沒彈性，希望會改善，平常他們蛋是表現不錯的
 前幾天好像有麵友許願新竹能看到蝦湯拉麵，我則是想看到煮干拉麵，藉由這次本也開啟先例，希望之後能有煮干湯系進駐😂
 #今年第51_54碗麵",7月29日上午8:30
1545,"店家：太陽番茄麵 區域／鄰近地點： 美麗華/高島屋/忠孝 用餐時間：07/25～0726 排隊狀況：無人排隊 拉麵名稱／價格：雞骨白湯拉麵x2、太陽拉麵x1 $190x3 配置：基本配置，麵加大
 上週末做了一件只有在日本會做的事，兩天之內吃了三碗拉麵。
 為什麼會這樣，一切的源頭來自蒐集的慾望發作了，加上朋友願意幫忙，於是就這樣完成了。
 來說一下吃了這三碗麵的感想： 雞骨白湯拉麵，喝了一口湯有清新的感覺，麵條也適中，後來跟朋友討論起來，她的形容是像“陽春麵的湯”，聽到這一句真的深得我心，無法再更認同了。 太陽拉麵，定番無誤，但不知道為什麼吃完後整個超口渴。 整體感想，拉麵有一定水準，咖哩飯也不錯吃。",7月29日下午8:23
1546,"▎店家：双豚ラーメン ▎區域／鄰近地點：捷運新埔站 ▎用餐時間：4/11 ▎排隊狀況：無 ▎拉麵名稱／價格： ▎配置：濃湯叉燒拉麵
 除了第一次來吃濃湯，之後都是吃清湯😂 昨天本來想去壹慶，突然下大雨，實在很懶，但又很想吃拉麵🍜😔😔😔
 結論：我又被濃湯打敗了😅😅😅
 不知道是不是隔太久沒吃他們家的濃湯，我覺得今天的背脂特別多😂 吸麵的時候還算舒服，不過配料全部吃完之後再多喝2口，我就被擊敗了 😝😝😝",2019年4月12日下午1:26
1547,"店家：梓山拉麵 區域／鄰近地點： 台北市雙城街晴光夜市 用餐時間：07/29 2030 排隊狀況：第一位！（咦） 拉麵名稱／價格：糖心蛋濃湯白雞麵 $280 配置：日本味，麵硬，にく日免費增加三片豬肉，免費替玉
  八點半第一個到... （咦） 點完餐，入席後，才陸續有客人進來。
 太久沒吃梓山，完全忘記那個雞白湯的滋味，喝湯第一口時有股淡淡的雞騷味，鹹度也沒那麼明顯，加了一大匙泡盛後，對，就是這個滋味！ 么瘦讚！
 這回吃日本味，我發現可以正常吃，以前吃梓山拉麵，一定會抱怨湯頭有點鹹！ 煮麵師傅似乎不同人了，今天吃麵硬，這口感有點像義大利麵，中間麵心沒透。
 梓山是我喜歡的眾多拉麵品牌中，少數吃完第一球麵後，湯碗還是熱熱的，加麵後整碗溫度不至於降低變冷冷的，這點很加分。
 最後，糖心蛋中間是苟苟的，畫下完美句點。",7月29日下午9:54
1548,"▎店　　名：お帰り 你回來啦．拉麵 ▎鄰近地點：捷運國父紀念館站 ▎用餐時間：109/07/24 11:15 ▎排隊狀況：前方10多人，後方10多人 ▎拉麵名稱/價格：濃厚豚骨拉麵、炸雞/220、90 ▎配置：日本味、粗麵、麵硬
 ""回家的路是如此的遙遠，如此的漫長""。
 這是我對お帰り… 更多 拉麵店的唯一想法；遙遠的是我要到店家的距離，漫長的是要進入店裡前那長長的排隊人龍，就因為這樣的緣故，我發現我剛好快整整一年沒有踏進店裡了，每次走過路過，看到那萬頭鑽動，就只好一再錯過了。 今天的濃厚豚骨拉麵，配料依然、麵條照樣、湯濃依舊，雖然這次味道上覺得少了那麼一點點的豚骨香味，但是整體的味道搭配上非常的調和，喜歡濃稠湯系的人應該會非常的喜愛。食用之前麵在湯在，滿腹之後麵完湯完😁。 今天點的配餐炸雞，就不太合我的胃口，外層炸粉和雞皮炸的有點偏於乾硬，而雞肉本身則乾柴沒有肉汁，最後我是把炸雞泡到湯中才食用，真的不討我喜歡的一道餐點。 覺得在お帰り 真的很難把餐點拍的好看，由於燈光的關係(還是我的古董手機太爛?)，照片幾乎都對焦模糊，不過拉麵的美味有存留在我腦中就好了！  拉麵店的唯一想法；遙遠的是我要到店家的距離，漫長的是要進入店裡前那長長的排隊人龍，就因為這樣的緣故，我發現我剛好快整整一年沒有踏進店裡了，每次走過路過，看到那萬頭鑽動，就只好一再錯過了。 今天的濃厚豚骨拉麵，配料依然、麵條照樣、湯濃依舊，雖然這次味道上覺得少了那麼一點點的豚骨香味，但是整體的味道搭配上非常的調和，喜歡濃稠湯系的人應該會非常的喜愛。食用之前麵在湯在，滿腹之後麵完湯完😁。 今天點的配餐炸雞，就不太合我的胃口，外層炸粉和雞皮炸的有點偏於乾硬，而雞肉本身則乾柴沒有肉汁，最後我是把炸雞泡到湯中才食用，真的不討我喜歡的一道餐點。 覺得在お帰り 真的很難把餐點拍的好看，由於燈光的關係(還是我的古董手機太爛?)，照片幾乎都對焦模糊，不過拉麵的美味有存留在我腦中就好了！",7月26日下午3:23
1549,《店名/品項》 ☆暴走中村~超濃雞魚介沾麵（每日限定10碗） 《日期》 ☆7月26日 下午五點   《配置》 ☆加點蛋、白飯、可樂 ： 非常難得有機會吃到雞魚介沾麵 整個沾湯非常的濃郁 最可怕的是沾湯超級大碗… 更多 沾湯份量爆多 沾湯碗跟拉麵碗快要一樣大 很驚人 : 由於特地點最小麵量（小鳥胃） 很快就把麵吃完剩下超多沾湯 最後只好再加點白飯繼續衝刺下去 : 到目前為止 暴走中村的超濃沾、拉麵這樣我就都吃過了 個人覺得他們的超濃限定系列都很猛 喜歡濃、鹹、香的人不能錯過  沾湯份量爆多 沾湯碗跟拉麵碗快要一樣大 很驚人 : 由於特地點最小麵量（小鳥胃） 很快就把麵吃完剩下超多沾湯 最後只好再加點白飯繼續衝刺下去 : 到目前為止 暴走中村的超濃沾、拉麵這樣我就都吃過了 個人覺得他們的超濃限定系列都很猛 喜歡濃、鹹、香的人不能錯過,7月26日下午6:09
1550,"▎店家：OSHO 拉麵 ▎區域／鄰近地點：南軟園區旁 ▎用餐時間：2020/07/28  ▎排隊狀況：無。下午五點半開店沒多久就去吃，店內約兩三組 ▎拉麵名稱／價格：原味豚骨拉麵/180元
 公司旁意外發現的拉麵店，店裡只賣兩款豚骨拉麵(原味/微辣)，價格都一樣，覺得十分特別就進去試看看哩！店裡空間不大，都是吧台座位，老闆麵煮好會直接放吧台上，自取就可以開吃啦！麵體是粗細適中偏硬的口感，配菜豆芽菜跟蔥花，脆脆口感不錯，湯頭有豚骨香但不會很膩，肉的部分覺得很讚，薄片好入口，不會整個散開，中規中矩的拉麵，整體清爽不油膩，CP 值還算不錯！推薦給南軟下班不知道要吃啥的人~~
 BTW 整間店感覺只有老闆一個人，點餐煮麵收銀都自己來，不知道人多的時候會不會忙翻😂",7月28日下午6:28
1551,"這碗山田的新作品  #赤紅濃湯
 個人之前去品嚐過 #赤紅雞白湯 帶點微辣蒜味重 搭配雞湯香氣  整體表現不錯 🐥🐥    下次再來吃看看濃湯版本
當赤紅遇上了濃湯 就變成了赤紅雞濃湯 :D 適合喜歡重鹹、重口味的朋友
 今日販售赤紅雞濃湯
 #赤紅雞濃湯 #雞濃湯 #赤紅雞白湯 #醬油雞白湯 #鹽味雞白湯 #叉燒飯 #外帶提供 #七月二十七店休","7月29日下午4:01
7月25日下午12:59"
1552,"當赤紅遇上了濃湯 就變成了赤紅雞濃湯 :D 適合喜歡重鹹、重口味的朋友
 今日販售赤紅雞濃湯
 #赤紅雞濃湯 #雞濃湯 #赤紅雞白湯 #醬油雞白湯 #鹽味雞白湯 #叉燒飯 #外帶提供 #七月二十七店休",7月25日下午12:59
1553,"店　　名：北一家 ·鄰近地點：捷運文德站 ·用餐時間：17:45左右 ·排隊狀況：16:50左右到達排第10組 ·拉麵名稱/價格： 魚介味增拉麵(220) 叉燒飯(80)
 聽到北一家要停賣煽り系拉麵非常錯愕，趕在宣布後的第一個營業日就來吃，16:50到達，前面已經有9組了，不一會後面就滿滿的人，17:30老闆娘出來發號碼牌就直接把全部發完，放下完售的牌子。
 明後天想吃的要盡早來喔!
 拉面一樣非常的棒，那種炒過的鍋氣十分地香，叉燒飯也是很讚，煽り系在台灣應該算比較稀有的(?)，不知以後台北還有類似可以替代的😭
 之後北一家原址，不賣煽り系匯會改賣其他品項的拉麵，老闆娘一樣也會在，老闆的煽り系拉麵似乎在選其他地方另起爐灶，就靜待復活了!",7月28日下午7:44
1554,"【排隊情報】北一家拉麵
 7/30 該店特點 煽り系餐點停售，目前排隊人數超過40人，請欲前往北一家的朋友，務必留意。
 北一家公告連結： https://www.facebook.com/1695476814001861/posts/2735209506695248/",7月28日下午5:36
1555,"▎店家：創作麵坊・鮭の大助
 ▎區域／鄰近地點：403 台中市西區向上路一段170號
 ▎旁邊旁邊有好樂迪美村店，斜對面有私人收費停車場
 ▎排隊狀況：無
 ▎拉麵名稱／價格：
 鰹魚鹽味（湛藍）$270（日本味/細麵20秒）
 想收這碗很久了，但總被店內其他限定吸走（笑），這次總算來好好享用。
 鰹魚非常新鮮，肉質鮮甜軟嫩口感極佳，一上桌就先吃光了，湯剛入口是鹽味湯底的味道，再多喝幾口海鮮鮮甜甘甘的味道整個包覆口腔，令人驚艷，忍不住一口接一口，這碗說是目前為止吃到最鮮甜的海鮮湯頭也不為過。
 雞叉燒調味極佳，帶點檸檬微酸的味道，口感Q彈熟度剛好，店家最新採用的新鮮的生菜加上海鮮湯頭堪稱完美組合，洋蔥丁、稍微提味的蔥末處理得很好，沒有刺激的硫化物味道，跟湯一起吃非常適合。
 舊版的湛藍有配置檸檬片，但後續改版至今的都已經沒有檸檬片了感到鬆口氣。
 對於這碗這麼新鮮的湯頭，檸檬片其實有點多餘而且放久會苦（再次強調），所以目前這樣的配置我覺得是最好的狀態。
 此碗鹽味海鮮味鮮、味足，整體完成度高，非常推薦喜歡海鮮湯頭或是想吃這間店但又不敢嘗試濃湯的麵友來試試看。",7月26日上午10:19
1556,"大家好嗎？🍜
 3月離開Big City，已經過了四個月了。大家還記得我們嗎？？？？😂哈哈哈😂
 讓您久等了！！！
 🍜🍜🍜🍜🍜🍜🍜🍜🍜🍜 🍜終於從8/1(六)開始營業🍜 🍜🍜🍜🍜🍜🍜🍜🍜🍜🍜
 但是，8月1日到31日期間是試營業。 可能會造成不便，非常抱歉。。。
 我們已經準備好了！ 請來吃我們的拉麵😋🍜😋🍜
 請等待營業時間通知等，明天開始更新🙇‍♀️🙇‍♂️
 **********************************************
 皆さまお元気ですか？🍜
 3月にBig Cityを離れて早４ヶ月。 皆さん「もとなり」を覚えてますか？？？😂
 お待たせ致しました！！！！！
 🍜🍜🍜🍜🍜🍜🍜🍜🍜 🍜8/1(土)から営業開始🍜 🍜🍜🍜🍜🍜🍜🍜🍜🍜
 ただ1ヶ月間は試験営業となり、皆様にご迷惑をおかけするかもしれません。 ご理解のうえ、ご来店いただけると幸いです。
 とはいえ私たちは準備万端です！！！ ぜひ私たちのラーメンを食べにいらしてください😋🍜😋🍜
 営業時間など、また明日からの更新でお知らせ致します
 **********************************************
 台灣竹北市成功ニ街19號
 #拉麵 #豚骨拉麵 #本也 #沖繩拉麵 #台湾 #台灣 #新竹 #竹北 #沖繩 #讓您久等了 #記得嗎  #好消息 #請來吃 #竹北店本週末試營運 
 #ラーメン #豚骨ラーメン #沖縄ラーメン #もとなり #覚えてますか #今週末から #営業致します #ラーメン好きな人と繋がりたい  #ramen #tonkotsu #motonari  #taiwan #hsinchu #zhubei #open","7月28日下午2:38
7月28日下午2:30"
1557,"大家好嗎？🍜
 3月離開Big City，已經過了四個月了。大家還記得我們嗎？？？？😂哈哈哈😂
 讓您久等了！！！
 🍜🍜🍜🍜🍜🍜🍜🍜🍜🍜 🍜終於從8/1(六)開始營業🍜 🍜🍜🍜🍜🍜🍜🍜🍜🍜🍜
 但是，8月1日到31日期間是試營業。 可能會造成不便，非常抱歉。。。
 我們已經準備好了！ 請來吃我們的拉麵😋🍜😋🍜
 請等待營業時間通知等，明天開始更新🙇‍♀️🙇‍♂️
 **********************************************
 皆さまお元気ですか？🍜
 3月にBig Cityを離れて早４ヶ月。 皆さん「もとなり」を覚えてますか？？？😂
 お待たせ致しました！！！！！
 🍜🍜🍜🍜🍜🍜🍜🍜🍜 🍜8/1(土)から営業開始🍜 🍜🍜🍜🍜🍜🍜🍜🍜🍜
 ただ1ヶ月間は試験営業となり、皆様にご迷惑をおかけするかもしれません。 ご理解のうえ、ご来店いただけると幸いです。
 とはいえ私たちは準備万端です！！！ ぜひ私たちのラーメンを食べにいらしてください😋🍜😋🍜
 営業時間など、また明日からの更新でお知らせ致します
 **********************************************
 台灣竹北市成功ニ街19號
 #拉麵 #豚骨拉麵 #本也 #沖繩拉麵 #台湾 #台灣 #新竹 #竹北 #沖繩 #讓您久等了 #記得嗎  #好消息 #請來吃 #竹北店本週末試營運 
 #ラーメン #豚骨ラーメン #沖縄ラーメン #もとなり #覚えてますか #今週末から #営業致します #ラーメン好きな人と繋がりたい  #ramen #tonkotsu #motonari  #taiwan #hsinchu #zhubei #open",7月28日下午2:30
1558,"店家：吉天元 區域／鄰近地點： 西門町/萬年大樓 用餐時間：07/26 14:10 排隊狀況：無人排隊 拉麵名稱／價格：野菜雞白湯 $240 配置：基本配置
 快速！便宜！安定的美味！ 沒錯，這就是我一直以來都喜歡去吉天元用餐的原因。 當然跟公司在附近也有關係就是了。
 對於一個講求效率的上班族男子來說，最低價位140元，再加上穩定的味道，雖然不一定是最傑出的，但是永遠不用擔心調味會有問題，或是吃到滿口煮麵水，穩定真的比什麼都重要。
 同時，吉天元清一色的男性店員，用餐環境在老舊大樓的地下室，那股自然潮濕的味道，讓我想起了高中、大學清一色都是男生的社辦的味道，也等於是提醒自己那個時候不要說「可愛的異性」了，連跟「異性」都扯不上邊的學生生活。
 當時真的有夠魯啊… 哈哈哈哈哈哈…(拭淚
 麵雖然好吃，但是這樣的環境。 嗆我嗆夠了沒…
 所以說，拉麵兩個字。 一橫一豎。
 追求穩定的味道，就不一定會有可愛的女店員。 要追求可愛，像是紫陽花一般的女店員，就只有拉麵公子。",7月28日下午4:52
1559,（“起”字很曖昧，有可能明天就是最後一天...）頓時讓人難過的夜不能寑，以淚洗床......17：20 我來到了熟悉的店門口，眼前的人潮猶如百貨週年慶......我領到的號碼牌是5，前面全部輪完一輪的第二輪的5！（後來才知道這是倒數第二個號碼了，後面的後面直接GG...）然後我在20：00，麵才端上桌（這個地獄級戰況提供給趕明天最後一日的朋友參考）。原本想來個完美的大三元結束這次告別：魚介味噌拉麵+鹽味拉麵+叉燒飯可是此時美麗的日本老闆娘卻說：一人只能點一碗麵、而且叉燒飯賣完了.....看著極度有禮貌又連忙賠不是的老闆娘，我的心裡更是難過到了極點......在手心手背都是肉的情況下，我只能忍痛選擇「魚介味噌」拉麵...當我第一次品嚐到這碗麵時，那個感覺有多麼的驚艷。那麼現在我的心情就有多麼的哀慟......這是我這輩子第一次吃麵吃的如此難過...不管此時進入口中的東西有多美味，都已難以撫平心中的傷口......除了有的叉燒會贏過它以外，這碗麵其他所有的地方包括：蔥、豆芽菜、溏心蛋、麵、湯的各種搭配上，我都願意並且樂意給到無懈可擊的“滿分”！（當然叉燒一樣軟嫩好吃，是其他方面太完美無暇了...）煽り系不僅僅只是大火爆炒的“焦香”味與好吃到升天的“豆芽菜”而已....它能讓直到我吃光碗裡所有的東西，並且喝下最後最後的一口湯，而這口湯都還是“燙的”！這是我覺得它美味最究極的部份！現階段沒有其他類似的麵可以替代的！北一家“煽り系”的美味無以倫比！！！願天照大神能給予北一家一間更合適的店面，讓他們把煽り系的美味世代傳承，莫讓最後結局徒留傷悲......－北一家 食記回顧－鹽味拉麵：https://reurl.cc/L3Rr2X魚介風味味噌：https://reurl.cc/ex1lpM,7月28日下午9:46
1560,"▎店家： 鬼金棒 ▎區域／鄰近地點：中山地下街R1出口 ▎用餐時間：2020/07/27 18:50 ▎排隊狀況：5～10分鐘內 ▎拉麵名稱／價格：特製辣麻味增拉麵（紅+麻增量，白碗）＄300 五花肉X2，玉米筍，豆芽菜，溏心蛋 加點 白飯，加麵
… 更多 ▎完食感受：第二次造訪當然就是為了湯拉麵而來，今天選擇了特製辣麻味增拉麵～標準辣麻，友人點選了麻增量！通透白亮的用餐環境，跟隔壁沾麵氣氛完全不同，不過一樣的隔板，還是讓我專心用餐，享受孤獨的浪漫時光～哈哈！麵一上桌，光看到辣粉撲撒的狀態，唾液已經失守，試了一口湯，果然有沾麵的風味，再試了麻增量的紅碗湯頭，麻的效果有點搶了原湯，或許應該都一起增量，比較對味？！厚片的五花真的是滿足愛油嫩的族群，個人覺得麵吃完後加入白飯，五花肉正好搭配！ 這碗的溏心蛋，屬於比較熟的？是否因為區別了沾麵？我個人愛好是再生一點蛋汁濃郁的～ 整體來說這次麵稍偏軟，需要儘快食用，加飯吸附辣麻的效果很棒，非常加分！當然還會再訪，吃完其他口味！！！！  ▎完食感受：第二次造訪當然就是為了湯拉麵而來，今天選擇了特製辣麻味增拉麵～標準辣麻，友人點選了麻增量！通透白亮的用餐環境，跟隔壁沾麵氣氛完全不同，不過一樣的隔板，還是讓我專心用餐，享受孤獨的浪漫時光～哈哈！麵一上桌，光看到辣粉撲撒的狀態，唾液已經失守，試了一口湯，果然有沾麵的風味，再試了麻增量的紅碗湯頭，麻的效果有點搶了原湯，或許應該都一起增量，比較對味？！厚片的五花真的是滿足愛油嫩的族群，個人覺得麵吃完後加入白飯，五花肉正好搭配！ 這碗的溏心蛋，屬於比較熟的？是否因為區別了沾麵？我個人愛好是再生一點蛋汁濃郁的～ 整體來說這次麵稍偏軟，需要儘快食用，加飯吸附辣麻的效果很棒，非常加分！當然還會再訪，吃完其他口味！！！！",7月27日下午11:38
1561,"▎店家：真劍拉麵
 ▎區域／鄰近地點：師大夜市
 ▎用餐時間：2020/07/24
 ▎排隊狀況：8點多到，排約五分鐘
 ▎拉麵名稱／價格：豚骨拉麵260、鹽味翠雞拉麵250
 ▎配置：加蒜30元
 終於來吃傳說中的藍色湯頭拉麵。
 鹽味翠雞是女友點的，喝了湯覺得雞味偏淡，味道略嫌單調，我自己覺得是視覺>味覺的一碗麵，觀賞性滿分，直覺想到北海道的青池
 豚骨是屬於偏濃厚的湯頭，無論味道上還是稠度，自己是蠻喜歡的。但是，沒想到這裡的加蒜，給的這麼大方，滿滿蒜末蒜味十足，加一球麵麵之後把碗底的蒜末拌勻，鹹味蒜味大噴發，被蒜辣到狂流鼻涕眼淚，沒吃過這麼辣的蒜，蒜味重度愛好者可以嘗試。
 自己是蠻喜歡真劍的豚骨，但下次不敢加蒜了😅",7月25日上午11:31
1562,"▎店　　名：一鮫 ▎鄰近地點：全台灣收入最高的里 ▎用餐時間：109/07/26 17:10 ▎排隊狀況：無，到店直接入座 ▎拉麵名稱/價格：清湯醬油拉麵極盛？忘記名字了300元 ▎配置：細麵麵硬日本味，還可以選什麼我也忘了
 擺盤設計很用心！有粉紅色有綠色有紫色的！
 店內可以選豚骨濃湯或是醬油清湯，雖然沒有特別說，但感覺清湯是魚介湯？
 點了日本味，店員還特別來跟我確認，會比較鹹哦確定嗎？我說確定。 鹹度確實偏高，湯底的香氣不是特別明顯濃郁（和大角比的話），但鹹度倒是很高（和大角比的話），是因為魚介湯醬油口味的關係嗎？
 麵條雖然選了硬但沒有很硬，就是普通可以接受的硬度。像蕎麥麵的味道，可以吃到麵條裡的麥子香，很特別我很喜歡😃
 配菜竟然是水蓮，好驚喜，清脆的口感非常好吃😃
 為了吃到兩種肉所以點了極盛，粉紅色舒肥叉燒和炙燒叉燒，炙燒叉燒的焦香很鮮明，超好吃！😃
 溏心蛋不知道為啥裡面的蛋白不是很熟，但蛋黃倒是熟了@@？沒有很溏心，不過以前在某浩吃的溏心蛋也是這種熟熟蛋。
 基本上新竹真的沒幾家能夠跟台北那些華麗的拉麵比，但是不用排隊，外面也沒什麼人等待，就像吃我家巷口滷肉飯一樣輕鬆還是很棒的。
 快把新竹的拉麵吃完了，如果在這裡許願希望能夠在新竹吃到五之神那種蝦子湯的拉麵，願望會實現嗎？",7月26日下午8:45
